fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
86,BAR,NOTABLE,CAFE NOSTALGIA,,,,,SOLER,3599,RECOLETA,COMUNA 2,"SOLER 3599, CABA",-58.414389,-34.594061,4963-0903,,,,,,,,,,,,,0,
87,BAR,NOTABLE,CAFE PALACIO,,,,,LACROZE. FEDERICO AV.,3901,CHACARITA,COMUNA 15,"LACROZE, FEDERICO AV. 3901, CABA",-58.453574,-34.584401,4554-5529,,WWW.MUSEOFOTOGRAFICOSIMIK.COM,,,,,,,,,,,0,
88,BAR,CULTURAL,CAFE RETIRO,,,,,RAMOS MEJIA. JOSE MARIA. DR. AV.,1358,RETIRO,COMUNA 1,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1358, CABA",-58.374659,-34.591697,4516-0412 / 0902,RETIRO@AREAS.COM.AR,,,,,,,,,,,,0,
89,BAR,CULTURAL,CAFE ROCK DE LA VE,,,,,LOPE DE VEGA,250,VILLA LURO,COMUNA 10,"LOPE DE VEGA 250, CABA",-58.49987,-34.635597,,,,,,,,,,,,,,0,
90,BAR,NOTABLE,CAFE ROMA,,,,,SAN LUIS,3101,BALVANERA,COMUNA 3,"SAN LUIS 3101, CABA",-58.40885,-34.59945,4962-6670,,,,,,,,,,,,,0,
91,BAR,NOTABLE,CAFE ROMA,,,,,OLAVARRIA,409,BOCA,COMUNA 4,"OLAVARRIA 409, CABA",-58.358759,-34.636242,4302-1354,,,,,,,,,,,,,0,
92,BAR,CULTURAL,CAFE SAAVEDRA,,,,,BALBIN. RICARDO. DR. AV.,4008,SAAVEDRA,COMUNA 12,"BALBIN, RICARDO, DR. AV. 4008, CABA",-58.486763,-34.555098,,,,,,,,,,,,,,0,
93,BAR,NOTABLE,CAFE THIBON,,,,,MONTEVIDEO,723,SAN NICOLAS,COMUNA 1,"MONTEVIDEO 723, CABA",-58.389571,-34.600414,4812-3320,cafethibon@gmail.com.ar,http://thibon.com.ar/,,,,,,,,,,,0,
94,BAR,NOTABLE,CAFE TORTORI,,,,,DE MAYO AV.,825,MONSERRAT,COMUNA 1,"DE MAYO AV. 825, CABA",-58.37813,-34.608824,4342-4328,TORTONI@CAFETORTONI.COM.AR,WWW.CAFETORTONI.COM.AR,,,,,,,,,,,0,
95,BAR,CULTURAL,CAFE VIA LACROZE,,,,,LACROZE. FEDERICO AV.,2801,COLEGIALES,COMUNA 13,"LACROZE, FEDERICO AV. 2801, CABA",-58.447188,-34.573563,,,,,,,,,,,,,,0,
96,BAR,NOTABLE,CAFE VICTORIA,,,,,ENTRE RIOS AV.,114,MONSERRAT,COMUNA 1,"ENTRE RIOS AV. 114, CABA",-58.391768,-34.610539,4372-2754,VICTORIAPIZZACAFE@GMAIL.COM,,,,,,,,,,,,0,
97,BAR,CULTURAL,CAFE Y BAR RONAS,,,,,DE MAYO AV.,999,MONSERRAT,COMUNA 1,"DE MAYO AV. 999, CABA",-58.380578,-34.608913,,,,,,,,,,,,,,0,
98,BAR,CULTURAL,CAFESUA,,,,,CASEROS AV.,3699,BOEDO,COMUNA 5,"CASEROS AV. 3699, CABA",-58.416962,-34.639019,,,,,,,,,,,,,,0,
99,BAR,NOTABLE,CAFETABAC,,,,,DEL LIBERTADOR AV.,2300,PALERMO,COMUNA 14,"DEL LIBERTADOR AV. 2300, CABA",-58.404473,-34.580905,4802-1191,INFO@CAFEFFETABAC.COM,http://caffetabac.com/,,https://www.facebook.com/caffetabac/,,@caffetabac,,,,,,,0,
100,BAR,MILONGA Y/O TANGUERIA,CAMINITO TANGO SHOW,,,,,VALLE IBERLUCEA DEL. DR.,1151,BOCA,COMUNA 4,"VALLE IBERLUCEA DEL, DR. 1151, CABA",-58.362513,-34.638298,4301-1520,,,,,,,,,,,,,0,
101,BAR,MILONGA Y/O TANGUERIA,CANDILEJAS TANGO,,,,,ESTADOS UNIDOS,1500,CONSTITUCION,COMUNA 1,"ESTADOS UNIDOS 1500, CABA",-58.387279,-34.618821,4304-0885 / 3241,,WWW.CANDILEJASTANGO.COM,,,,,,,,,,,0,
102,BAR,CULTURAL,CAPISCI,,,,,VUELTA DE OBLIGADO,2072,BELGRANO,COMUNA 13,"VUELTA DE OBLIGADO 2072, CABA",-58.455426,-34.561811,4788-4400,CAPISCI@UOLSINECTIS.COM.AR,,,,,,,,,,,,0,
103,BAR,MILONGA Y/O TANGUERIA,CASA DE GALICIA (CLUB ESPAÑOL),,,,,SAN JOSE,224,MONSERRAT,COMUNA 1,"SAN JOSE 224, CABA",-58.386125,-34.611301,4381-5215,,,,,,,,,,,,,0,
104,BAR,NOTABLE,CASA WATSON,,,,,VUELTA DE OBLIGADO,2072,BELGRANO,COMUNA 13,"VUELTA DE OBLIGADO 2072, CABA",-58.455426,-34.561811,4788-4400,RESERVAS@CASAWATSON.COM,https://www.casawatson.com/,,https://www.facebook.com/casawatson.cafe,,@casa.watson,,,,,,,0,
105,BAR,CULTURAL,CATEDRAL DEL TANGO,,,,,DE LOS CORRALES AV.,6599,MATADEROS,COMUNA 9,"DE LOS CORRALES AV. 6599, CABA",-58.500956,-34.663016,,,,,,,,,,,,,,0,
106,BAR,NOTABLE,CELTA BAR,,,,,SARMIENTO,1702,SAN NICOLAS,COMUNA 1,"SARMIENTO 1702, CABA",-58.390932,-34.605579,4371-7338,mginestaproduccion@hotmail.com,http://www.losnotables.com.ar/,,https://www.facebook.com/celtabar1/,@CeltaBarConcert,@CeltaBarConcert,,,,,,,0,
